lipid,p_value,significance....ifelse.p_values....0.001.........ifelse.p_values....
TG_.54.4.,0.02669538,*
TG_.51.4.,0.027368482,*
S_.40.2.,0.027396628,*
TG_.58.3.,0.029684582,*
TG_.56.6.,0.030037388,*
MG_.20.4.,0.03204605,*
TG_.55.5.,0.033262352,*
TG_.59.9.,0.034287798,*
TG_.59.7.,0.0361045,*
PC.P_.34.2.,0.04027284,*
TG_.58.10.,0.043300725,*
TG_.46.3.,0.0451155,*
GD1a_.38.1.,0.045526113,*
GM1_.34.0.,0.046455653,*
TG_.56.5.,0.047375956,*
GM2_.36.0.,0.04898866,*
TG_.54.3.,0.053596819,NO
CL_.71.06.,0.058583237,NO
PA_.32.2.,0.058971055,NO
PE.P_.30.1.,0.061809826,NO
SM_.34.0.OH.,0.062159745,NO
TG_.54.5.,0.062268028,NO
TG_.54.1.,0.063133718,NO
PE_.36.0.,0.067823309,NO
TG_.56.4.,0.068344315,NO
TG_.54.6.,0.069332038,NO
TG_.52.1.,0.069389317,NO
TG_.52.2.,0.072942468,NO
TG_.58.5.,0.074932838,NO
Lacto.cer_.34.1.,0.078752116,NO
TG_.53.5.,0.078987125,NO
CE_.18.2.,0.079790609,NO
PI_.38.4.,0.081938043,NO
TG_.56.2.,0.082637487,NO
GD1a_.40.1.,0.085731737,NO
TG_.58.4.,0.093476806,NO
TG_.52.0.,0.097686984,NO
Cholesterol,0.098496232,NO
DG_.36.2.,0.106388068,NO
GM2_.38.1.,0.110143765,NO
PE_.34.2.,0.121712779,NO
PE_.37.4.,0.125919782,NO
TG_.56.3.,0.138669884,NO
PG_.40.6.,0.144507567,NO
PS_.37.4.,0.164045422,NO
Hex.Cer_.42.0.OH.,0.169107023,NO
TG_.54.2.,0.172463863,NO
CE_.16.1.,0.176614844,NO
PC_.38.6.,0.177063407,NO
PC.P_.36.4.,0.178795991,NO
TG_.44.1.,0.178938482,NO
GD1a_.34.0.,0.190919704,NO
SM_.42.0.OH.,0.19567408,NO
TG_.50.1.,0.19623002,NO
Mono.lyso_CL_.52.01.,0.211765577,NO
Mono.lyso_CL_.54.04.,0.223155363,NO
GM3_.38.1.,0.258814826,NO
TG_.42.1.,0.270885653,NO
CL_.69.06.,0.273447655,NO
MG_.22.6.,0.279490912,NO
PA_.36.2.,0.283134557,NO
PE.O_.35.1.,0.286405746,NO
TG_.51.2.,0.297743214,NO
TG_.46.2.,0.348951137,NO
TG_.48.2.,0.352743069,NO
SM_.37.0.,0.361384685,NO
CL_.74.09.,0.372223162,NO
TG_.50.2.,0.372546327,NO
PE.O_.33.1.,0.378286524,NO
DG_.35.2.,0.387610221,NO
GM1_.38.1.,0.400772611,NO
S_.40.1.,0.409881113,NO
TG_.48.1.,0.44069535,NO
PE.P_.40.1.,0.44857027,NO
Mono.lyso_CL_.54.02.,0.453651572,NO
PG_.42.10.,0.458387139,NO
GB3_.42.1.,0.480682829,NO
GB3_.34.1.,0.480682829,NO
GD3_.38.0.,0.480682829,NO
GB4_.40.1.,0.480682829,NO
GD3_.37.0.,0.480682829,NO
LPC_.15.0.,0.480682829,NO
SM_.30.1.,0.480682829,NO
CE_.17.1.,0.480682829,NO
TG_.47.4.,0.480682829,NO
PE.O_.36.0.,0.480682829,NO
GB3_.40.2.,0.480682829,NO
PA_.38.3.,0.51285487,NO
PG_.38.2.,0.52484175,NO
GM2_.32.0.,0.524935587,NO
Lacto.cer_.34.2.,0.528475212,NO
TG_.49.3.,0.529857499,NO
GM2_.35.1.,0.531889454,NO
TG_.47.3.,0.53257381,NO
GD3_.35.0.,0.535322058,NO
Carnitine_.03.0.2COOH.,0.535685452,NO
TG_.51.1.,0.536252312,NO
PE.O_.33.0.,0.542245397,NO
PA_.40.2.,0.545056439,NO
PG_.38.7.,0.566772204,NO
PA_.36.1.,0.567502229,NO
SM_.38.1.OH.,0.571364575,NO
CPE_.34.1.,0.579223358,NO
SM_.30.0.,0.580003433,NO
GD1a_.38.0.,0.583460079,NO
TG_.46.1.,0.58430945,NO
TG_.59.5.,0.587497425,NO
GB4_.36.0.,0.591278725,NO
CPE_.44.2.,0.593489979,NO
MGDG_.34.1.,0.629737366,NO
S_.38.0.,0.693261606,NO
PG_.33.0.,0.698699353,NO
GB4_.34.1.,0.714563476,NO
DG_.34.1.,0.72879679,NO
DG_.34.2.,0.735065309,NO
PG_.40.1.,0.750958554,NO
PC_.42.9.,0.751289457,NO
PG_.37.2.,0.781258761,NO
Cer_.38.1.OH.,0.81374427,NO
PA_.40.6.,0.818561834,NO
PC_.40.0.,0.821865936,NO
S_.34.1.OH.,0.873454248,NO
CE_.16.0.,0.896573365,NO
LPI_.20.0.,0.949028245,NO
