"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"PC.O_.30.0.",0.452495627572294,2.41160974577114,0.033060069266568,0.0512431073631804,"Normal"
"PC.O_.31.0.",2.57967994136,10.2527526120129,1.65000116109549e-11,2.55750179969802e-10,"Non-normal"
"PC.O_.32.0.",-0.253526377316663,2.00729308855818,0.0635894769070114,0.0807818325063182,"Normal"
"PC.O_.32.1.",0.21621505562282,2.1206974079161,0.147465177266906,0.15763518949221,"Normal"
"PC.O_.33.0.",1.77076187686905,6.00312731612704,1.83877246030158e-07,9.50032437822483e-07,"Non-normal"
"PC.O_.33.1.",1.09356178978068,3.2106382033925,1.74722432531892e-05,6.01821712054295e-05,"Non-normal"
"PC.O_.34.0.",-0.195024402459699,1.9639524480237,0.073963849598844,0.0855824692111909,"Normal"
"PC.O_.34.1.",-0.202544299702041,1.98827972513324,0.0273455583525061,0.0466834312624332,"Non-normal"
"PC.O_.34.2.",0.173726246889934,2.03532203549965,0.0525099524612006,0.0739912966498736,"Normal"
"PC.O_.35.0.",1.73950047417212,4.70730202632719,1.35546914583387e-10,1.400651450695e-09,"Non-normal"
"PC.O_.36.0.",0.836989520947729,3.56470774413795,0.00904916579725398,0.0187016093143249,"Non-normal"
"PC.O_.36.1.",0.205646402200652,2.06144394029629,0.12146386573435,0.134477851348744,"Normal"
"PC.O_.36.2.",0.14272254953293,2.1117484381456,0.240335507685662,0.248346691275184,"Normal"
"PC.O_.38.1.",0.707440689207931,3.2105773602226,0.0286124256124591,0.0466834312624332,"Non-normal"
"PC.O_.38.2.",0.281427100514121,2.04876482275577,0.0444239760179198,0.0655782503121674,"Normal"
"PC.O_.40.1.",0.9588458653584,3.19305296077241,0.000459391281590506,0.00118676081077547,"Non-normal"
"PC.O_.40.2.",0.656483638476383,3.11430024561977,0.0651466391179985,0.0807818325063182,"Normal"
"PC.O_.40.4.",1.58174923704856,7.04022942700477,8.42158196011433e-05,0.000237335491603222,"Non-normal"
"PC.P_.31.0.",1.23709732624951,5.76222671006693,0.00067435142877385,0.00160806879169149,"Non-normal"
"PC.P_.32.0.",0.505854480928891,2.6173526299185,0.0586677970929631,0.0790739873861676,"Normal"
"PC.P_.32.1.",0.256297895498992,1.936202326412,0.0200885965466413,0.0366321466438753,"Non-normal"
"PC.P_.33.0.",1.09991243224934,3.01404703294659,3.41286386758648e-06,1.51141114135973e-05,"Non-normal"
"PC.P_.34.1.",0.905459768753119,2.44213818865416,9.49293047495136e-08,5.88561689446984e-07,"Non-normal"
"PC.P_.34.2.",2.30056835638428,7.63738297211754,2.62936783487282e-10,2.03776007202643e-09,"Non-normal"
"PC.P_.35.1.",1.11306857567747,3.48343666763423,5.80206545323997e-05,0.000179864029050439,"Non-normal"
"PC.P_.36.1.",1.43427532587493,4.90279523534251,4.34826042291726e-06,1.68495091388044e-05,"Non-normal"
"PC.P_.36.3.",0.66932088080388,3.5391100656479,0.074539569958134,0.0855824692111909,"Normal"
"PC.P_.36.4.",2.99629095364321,13.8435557266783,3.90867055470499e-12,1.21168787195855e-10,"Non-normal"
"PC.P_.38.4.",0.430487855105707,2.6605826852573,0.350994890275804,0.350994890275804,"Normal"
"PC.P_.40.4.",0.789579626945259,3.4299768263238,0.0097603629782937,0.0189107032704441,"Non-normal"
"PC.P_.40.6.",0.54390269843116,2.21124501718029,0.00115422349737652,0.00255578060133372,"Non-normal"
