"lipid","skewness","kurtosis","shapiro_p","shapiro_p_adj","normality"
"TG_.42.1.",1.26365748562752,4.73631327345012,0.000126988184615932,0.000258072762283991,"Non-normal"
"TG_.44.1.",0.891675499060226,2.99274839182832,7.27076390566339e-08,2.86286328785496e-07,"Non-normal"
"TG_.46.0.",0.058707547523653,1.22539026513816,4.3346229464793e-08,1.95058032591569e-07,"Non-normal"
"TG_.46.1.",-0.00389515746689547,2.37531917484286,0.00047302157486066,0.000851438834749188,"Non-normal"
"TG_.46.2.",0.647328507380622,3.85657818352411,0.0469524381608151,0.0580000706692422,"Normal"
"TG_.46.3.",1.15325716026162,4.57862953625352,0.000743343912719401,0.00130085184725895,"Non-normal"
"TG_.47.3.",5.31794317913936,30.1390345347437,3.75844485540448e-16,5.91955064726206e-15,"Non-normal"
"TG_.47.4.",7.34968415259167,55.0178571428571,8.7329482144046e-17,5.5017573750749e-15,"Non-normal"
"TG_.48.0.",1.10288895722238,2.55089641143805,1.67621248729794e-10,8.8001155583142e-10,"Non-normal"
"TG_.48.1.",0.219220411517969,2.51703375585687,0.382432715001029,0.38860098459782,"Normal"
"TG_.48.2.",0.489439760336524,2.97527368984331,0.110252740528163,0.121858292162706,"Normal"
"TG_.49.3.",5.49774523303936,32.5514619530573,3.61821685047196e-16,5.91955064726206e-15,"Non-normal"
"TG_.50.0.",1.25294407274433,3.94108055934804,2.07437567735053e-05,5.02637183358014e-05,"Non-normal"
"TG_.50.1.",0.549013547264131,4.25280201015646,0.102383866965773,0.115181850336495,"Normal"
"TG_.50.2.",0.0865063138904027,2.68446830222896,0.0862003264790538,0.100567047558896,"Normal"
"TG_.50.3.",0.381670869976337,2.65503844663522,0.147123227230034,0.154479388591536,"Normal"
"TG_.50.4.",0.757578006975888,3.26244342964436,0.0159706081329112,0.0223588513860757,"Non-normal"
"TG_.51.1.",5.05340987564667,26.5371620626893,3.57329202223185e-16,5.91955064726206e-15,"Non-normal"
"TG_.51.2.",2.90381891387842,10.1033406754962,2.91095001797122e-14,3.05649751886978e-13,"Non-normal"
"TG_.51.3.",1.48872163358569,3.75694718324717,2.15318779310347e-11,1.35650830965518e-10,"Non-normal"
"TG_.51.4.",1.02650280282432,4.49989910870326,0.00329956682642272,0.00533006948883671,"Non-normal"
"TG_.52.0.",1.01390338684945,4.92647930278423,0.00374277869869467,0.00589487645044411,"Non-normal"
"TG_.52.1.",1.60926111167991,9.87145613846116,2.24763173633764e-05,5.24447405145449e-05,"Non-normal"
"TG_.52.2.",0.326227309714711,3.79362405085743,0.0985804285356788,0.11291939995905,"Normal"
"TG_.52.3.",0.245767362585173,2.68601506968746,0.49077485080785,0.49077485080785,"Normal"
"TG_.52.4.",0.475307366690718,2.7537964307545,0.116367617327631,0.126399308476565,"Normal"
"TG_.52.5.",0.708790534109791,3.49068971858893,0.0692823691204342,0.0823545142374972,"Normal"
"TG_.53.2.",0.652351941372299,2.5805103726471,4.74766753550038e-06,1.30044806407184e-05,"Non-normal"
"TG_.53.3.",0.919663525198563,3.96596289697046,0.00824408942845889,0.0123661341426883,"Non-normal"
"TG_.53.4.",0.607876543712327,2.88092525399338,0.0412993191182047,0.0520371420889379,"Normal"
"TG_.53.5.",1.17447527229075,5.05083468745882,1.07802299518033e-05,2.71661794785444e-05,"Non-normal"
"TG_.54.1.",0.406625198504261,2.98372988008118,0.000430339989592595,0.000797394686598043,"Non-normal"
"TG_.54.2.",2.03695694092181,11.0854166127482,5.20922734663635e-06,1.36742217849204e-05,"Non-normal"
"TG_.54.3.",0.484953639495888,4.65032726284443,0.0629232143281815,0.0762338942822199,"Normal"
"TG_.54.4.",0.534232843628508,3.66703838857018,0.281908713776286,0.291151622424689,"Normal"
"TG_.54.5.",0.60829412907053,3.44143495948596,0.123910744789024,0.132311473249297,"Normal"
"TG_.54.6.",0.8390459602731,3.81835532323481,0.0101244288181423,0.0148334654777434,"Non-normal"
"TG_.55.3.",1.04643407141736,3.48454148896994,4.35625708518967e-05,9.46359297817066e-05,"Non-normal"
"TG_.55.4.",1.2482379735781,5.24065354991268,0.000302913356023812,0.000578289134227277,"Non-normal"
"TG_.55.5.",1.7850542208424,4.88546524396809,5.28050826217446e-12,3.69635578352212e-11,"Non-normal"
"TG_.55.6.",1.25258827095943,4.32960793179586,9.1573897333858e-08,3.20508640668503e-07,"Non-normal"
"TG_.56.2.",1.81336013344827,9.38997282291652,1.11528566569444e-06,3.19377258812498e-06,"Non-normal"
"TG_.56.3.",2.68681919584784,15.0931334747722,8.7218654190457e-08,3.20508640668503e-07,"Non-normal"
"TG_.56.4.",1.55833930079783,7.96651328963635,8.59517599161564e-05,0.000180498695823928,"Non-normal"
"TG_.56.5.",0.513060316369341,3.68649906733647,0.00208290470085271,0.00352523657393349,"Non-normal"
"TG_.56.6.",0.686500812183496,3.2548588787352,0.0380478871243608,0.0499378518507235,"Non-normal"
"TG_.56.7.",0.881397223149468,3.8693695429961,0.00802481880150096,0.0123308191340137,"Non-normal"
"TG_.56.8.",1.32579577687556,5.54109189872566,0.000292468691333402,0.000575797736062635,"Non-normal"
"TG_.57.4.",1.75739579996861,6.05791512551264,4.87416976538862e-08,2.04715130146322e-07,"Non-normal"
"TG_.57.9.",1.33685766480241,3.95250492154191,1.38007995388619e-07,4.3472518547415e-07,"Non-normal"
"TG_.58.10.",1.85955264655303,5.86748854807532,3.27150124726389e-11,1.87367798706932e-10,"Non-normal"
"TG_.58.3.",2.36586557983691,11.0392794071356,1.29346485016787e-07,4.28885713476714e-07,"Non-normal"
